Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,4,8,2026-07-01,18:29:07
2,10 Porte Maubec,4,8,2026-07-01,18:29:07
3,11 Porte Dauphine,4,8,2026-07-01,18:29:07
4,20 Faculté de Sciences 2,5,10,2026-07-01,18:29:07
5,05 Place de Verdun,3,8,2026-07-01,18:29:07
6,26 Maison de la Charente-Maritime,5,10,2026-07-01,18:29:07
7,04 Marché,1,8,2026-07-01,18:29:07
8,16 Gare 2,6,14,2026-07-01,18:29:07
9,06 Maison de la Mobilité 1,9,10,2026-07-01,18:29:07
10,08 Vieux Port 1,7,14,2026-07-01,18:29:07
11,03 Arsenal 1,2,8,2026-07-01,18:29:07
12,21 Technoforum 1,6,8,2026-07-01,18:29:07
13,15 Office de tourisme (Simenon) 2,7,8,2026-07-01,18:29:07
14,24 EIGSI 1,1,8,2026-07-01,18:29:07
15,13 Médiathèque Michel Crépeau 1,3,8,2026-07-01,18:29:07
16,16 Gare 1,4,14,2026-07-01,18:29:07
17,22 Porte de Cougnes,5,10,2026-07-01,18:29:07
18,14 Bibliothèque Universitaire 1,1,14,2026-07-01,18:29:07
19,07 Préfecture,5,10,2026-07-01,18:29:07
20,25 IUT 2,3,8,2026-07-01,18:29:07
21,02 Quai Valin 1,7,8,2026-07-01,18:29:07
22,23 Place Cacaud 1,1,6,2026-07-01,18:29:07
23,25 IUT 1,3,8,2026-07-01,18:29:07
24,20 Plage des Minimes 4,0,10,2026-07-01,18:29:07
25,12 Piscine,4,10,2026-07-01,18:29:07
26,09 Office de Tourisme (Gabut) 1,5,10,2026-07-01,18:29:07
27,60 Commissariat,3,8,2026-07-01,18:29:07
28,104 Office de Tourisme de Châtelaillon,1,8,2026-07-01,18:29:07
29,108 Vaucanson,6,14,2026-07-01,18:29:07
30,28 Maison du Port La Pallice,3,8,2026-07-01,18:29:07
31,29 Mairie Annexe de Laleu,6,8,2026-07-01,18:29:07
32,30 Ludothèque de Mireuil,3,8,2026-07-01,18:29:07
33,31 Mairie Annexe de Mireuil,9,10,2026-07-01,18:29:07
34,32 Place St Maurice,3,10,2026-07-01,18:29:07
35,33 Marché de Port Neuf,5,8,2026-07-01,18:29:07
36,34 Maison de l'Emploi,4,8,2026-07-01,18:29:07
37,37 Plage de la Concurrence 1,9,10,2026-07-01,18:29:07
38,37 Plage de la Concurrence 2,5,10,2026-07-01,18:29:07
39,39 Lycée Vieljeux,3,10,2026-07-01,18:29:07
40,40 Cité Administrative Mangin,7,10,2026-07-01,18:29:07
41,42 LEP de Rompsay,4,12,2026-07-01,18:29:07
42,43 Mairie Annexe de Villeneuve,6,8,2026-07-01,18:29:07
43,44 Centre Cial. de Villeneuve,5,8,2026-07-01,18:29:07
44,45 Parking Jean-Moulin,5,14,2026-07-01,18:29:07
45,46 Eglise de Tasdon,6,8,2026-07-01,18:29:07
46,21 Technoforum 2,3,8,2026-07-01,18:29:07
47,48 Plage des Minimes 1,9,10,2026-07-01,18:29:07
48,48 Plage des Minimes 2,1,6,2026-07-01,18:29:07
49,24 EIGSI 2,1,8,2026-07-01,18:29:07
50,51 Gymnase Universitaire 1,8,12,2026-07-01,18:29:07
51,102 Centre Aquatique de Châtelaillon,7,12,2026-07-01,18:29:07
52,38 Parc Franck Delmas,4,8,2026-07-01,18:29:07
53,53 Les Parcs,5,8,2026-07-01,18:29:07
54,52 Port de Pêche,5,10,2026-07-01,18:29:07
55,36 Eglise de La Genette,4,8,2026-07-01,18:29:07
56,109 P+R Simone Veil,4,14,2026-07-01,18:29:07
57,13 Médiathèque Michel Crépeau 2,5,8,2026-07-01,18:29:07
58,08 Vieux Port 2,14,14,2026-07-01,18:29:07
59,47 Institut Confucius de Chine,2,12,2026-07-01,18:29:07
60,20 Faculté de Sciences 3,2,10,2026-07-01,18:29:07
61,59 Place de Lafond,3,9,2026-07-01,18:29:07
62,03 Arsenal 2,2,8,2026-07-01,18:29:07
63,02 Quai valin 2,0,8,2026-07-01,18:29:07
64,14 Bibliothèque Universitaire 2,3,10,2026-07-01,18:29:07
65,21 Technoforum 3,5,8,2026-07-01,18:29:07
66,09 Office de Tourisme (Gabut) 2,4,10,2026-07-01,18:29:07
67,06 Maison de la Mobilité 2,6,10,2026-07-01,18:29:07
68,24 Plage des Minimes 3,1,8,2026-07-01,18:29:07
69,51 Gymnase Universitaire 2,2,8,2026-07-01,18:29:07
70,15 Office de tourisme (Simenon) 1,9,12,2026-07-01,18:29:07
71,25 IUT 3,3,8,2026-07-01,18:29:07
72,57 Marché de la Pallice,5,8,2026-07-01,18:29:07
73,58 Digue du Bout Blanc,9,12,2026-07-01,18:29:07
74,61 Patte d'Oie,5,10,2026-07-01,18:29:07
75,62 Aquarium 2,1,10,2026-07-01,18:29:07
76,62 Aquarium 1,1,8,2026-07-01,18:29:07
77,63 08 mai 1945,1,14,2026-07-01,18:29:07
78,64 Aéroport,3,8,2026-07-01,18:29:07
79,65 Alstom,2,14,2026-07-01,18:29:07
80,66 Auberge de Jeunesse,4,10,2026-07-01,18:29:07
81,67 Beauregard,7,14,2026-07-01,18:29:07
82,68 Centre Commercial Beaulieu,8,10,2026-07-01,18:29:07
83,69 Centre social vent des lles,4,8,2026-07-01,18:29:07
84,70 Clinique de l'Atlantique,5,8,2026-07-01,18:29:07
85,71 Clos Margat,3,8,2026-07-01,18:29:07
