Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-01,15:12:02
2,10 Porte Maubec,5,8,2026-07-01,15:12:02
3,11 Porte Dauphine,5,8,2026-07-01,15:12:02
4,20 Faculté de Sciences 2,8,10,2026-07-01,15:12:02
5,05 Place de Verdun,8,8,2026-07-01,15:12:02
6,26 Maison de la Charente-Maritime,2,10,2026-07-01,15:12:02
7,04 Marché,3,8,2026-07-01,15:12:02
8,16 Gare 2,1,14,2026-07-01,15:12:02
9,06 Maison de la Mobilité 1,6,10,2026-07-01,15:12:02
10,08 Vieux Port 1,13,14,2026-07-01,15:12:02
11,03 Arsenal 1,3,8,2026-07-01,15:12:02
12,21 Technoforum 1,0,8,2026-07-01,15:12:02
13,15 Office de tourisme (Simenon) 2,4,8,2026-07-01,15:12:02
14,24 EIGSI 1,2,8,2026-07-01,15:12:02
15,13 Médiathèque Michel Crépeau 1,4,8,2026-07-01,15:12:02
16,16 Gare 1,6,14,2026-07-01,15:12:02
17,22 Porte de Cougnes,4,10,2026-07-01,15:12:02
18,14 Bibliothèque Universitaire 1,4,14,2026-07-01,15:12:02
19,07 Préfecture,9,10,2026-07-01,15:12:02
20,25 IUT 2,3,8,2026-07-01,15:12:02
21,02 Quai Valin 1,4,8,2026-07-01,15:12:02
22,23 Place Cacaud 1,4,6,2026-07-01,15:12:02
23,25 IUT 1,1,8,2026-07-01,15:12:02
24,20 Plage des Minimes 4,0,10,2026-07-01,15:12:02
25,12 Piscine,5,10,2026-07-01,15:12:02
26,09 Office de Tourisme (Gabut) 1,4,10,2026-07-01,15:12:02
27,60 Commissariat,4,8,2026-07-01,15:12:02
28,104 Office de Tourisme de Châtelaillon,1,8,2026-07-01,15:12:02
29,108 Vaucanson,6,14,2026-07-01,15:12:02
30,28 Maison du Port La Pallice,4,8,2026-07-01,15:12:02
31,29 Mairie Annexe de Laleu,5,8,2026-07-01,15:12:02
32,30 Ludothèque de Mireuil,2,8,2026-07-01,15:12:02
33,31 Mairie Annexe de Mireuil,7,10,2026-07-01,15:12:02
34,32 Place St Maurice,5,10,2026-07-01,15:12:02
35,33 Marché de Port Neuf,4,8,2026-07-01,15:12:02
36,34 Maison de l'Emploi,3,8,2026-07-01,15:12:02
37,37 Plage de la Concurrence 1,6,10,2026-07-01,15:12:02
38,37 Plage de la Concurrence 2,3,10,2026-07-01,15:12:02
39,39 Lycée Vieljeux,3,10,2026-07-01,15:12:02
40,40 Cité Administrative Mangin,6,10,2026-07-01,15:12:02
41,42 LEP de Rompsay,5,12,2026-07-01,15:12:02
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-01,15:12:02
43,44 Centre Cial. de Villeneuve,4,8,2026-07-01,15:12:02
44,45 Parking Jean-Moulin,8,14,2026-07-01,15:12:02
45,46 Eglise de Tasdon,2,8,2026-07-01,15:12:02
46,21 Technoforum 2,2,8,2026-07-01,15:12:02
47,48 Plage des Minimes 1,1,10,2026-07-01,15:12:02
